variable,label,question,valid_range,missing_codes,years_available,has_notes,n_value_labels
VCF9014,We Have Gone Too Far Pushing Equal Rights,‘We have gone too far in pushing equal rights in this country.’,1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012",Yes,7
VCF9015,Big Problem that Not Everyone Has Equal Chance,"ALL YEARS: 
‘One of the big problems in this country is that we don’t
give
everyone an equal chance.’",1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2012",Yes,7
VCF9016,Not Big Problem if Some Have More Chance in Life,"ALL YEARS: 
‘It is not really that big a problem if some people have
more of a
chance in life than others.’",1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9017,Should Worry less about How Equal People Are,"ALL YEARS: 
‘The (2004: This_ country would be better off if we
worried less
about how equal people are.’",1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9018,U.S. Fewer Problems if Everyone Treated Equally,"ALL YEARS: 
‘If people were treated more equally in this country we
would have
many fewer problems.’",1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9019,Most Desirable Goal for the Nation: #1,"For a nation, it is not always possible to obtain everything one
might
wish. On this page (1988,1992: on page [PAGE] of ",1-4,8;9,"1972, 1976, 1980, 1984, 1988, 1992",Yes,6
VCF9020,Most Desirable Goal for the Nation: #2,"(IF FIRST CHOICE GIVEN: ) Which one {goal for our nation} would be
your
second choice?",1-4,8;9,"1972, 1976, 1980, 1984, 1988, 1992",Yes,6
VCF9021,Did Anyone Talk to R about Voting or Registering,"During the campaign this year, did anyone talk to you about
registering
to vote or getting out to vote (1984,1986: or ab",1-5,8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2012, 2016, 2020",Yes,4
VCF9022,Voter Strength of Preference- Presidential Cand,"(ASKED OF Rs WHO VOTED): How about the election for president?
Did
you vote for a candidate for president? (IF YES) Who ",1-5,0;8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020",Yes,5
VCF9023,Nonvoter Preference- Presidential Cand,"(ALL YEARS: ASKED OF Rs WHO DID NOT
VOTE):
1948,1952,1956,1960,1964,1968:
Who (1948: whom) would you
have voted for if y",1-7,0;9,"1952, 1956, 1960, 1968, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020",Yes,6
VCF9024,Voter Strength of Preference- U.S. House Cand,"(ASKED OF Rs WHO VOTED): Here is a list of candidates for the
major
races in this district. How about the election for t",1-5,0;8;9,"1978, 1980, 1984, 1988, 1990, 1992",Yes,5
VCF9025,Vote for Governor- Party,"(ASKED OF Rs WHO VOTED): 
How about the vote/election for Governor
(1952, 1958: here in [state])?
Did you vote for a can",1-3,0;9,"1952, 1958, 1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982, 1986, 1990, 1994, 1998, 2012, 2016, 2020, 2024",Yes,5
VCF9026,Vote in Presidential year Primary- Party,"1972: 
 (ASKED OF Rs WHO SAID THEY WERE REGISTERED/ELIGIBLE TO VOTE
IN
 NOVEMBER): How about the primary election this y",1-7,9,"1972, 1976, 1980, 1988, 1992",Yes,6
VCF9027,Vote in Previous Presidential Election - Party,"1948: 
Do you remember whether you voted in [year] when
[Democratic
presidential candidate] ran against [Republican
Pres",1-5,0;9,"1948, 1952, 1956, 1958, 1960, 1962, 1964, 1966, 1968, 1970, 1972, 1976, 1980, 1982, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2016, 2020",Yes,6
VCF9028,Which Presidential Candidate Will Win in State,"How [1996,2004: What] about here in [R’s state]. Which candidate
for
President do you think will carry this state? (1984",1-8,9,"1952, 1972, 1976, 1980, 1984, 1988, 1992, 1996, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9029,Which Presidential Race in State Be Close,"How about here in [R’s state]. Which candidate for President do
you
think will carry this state? (1988,1984, IF NECESSAR",1-8,9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2004, 2012, 2016, 2020, 2024",Yes,4
VCF9030,Contacted By Which Major Party,"(1956,1960,1964,1966,1968: You know that) (other years exc.
1988,1996:
As you know,) The political parties try to talk t",1-7,8;9,"1956, 1960, 1964, 1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,9
VCF9030a,Contacted By Any Major Party,Did PARTY contact R about election campaign?,1-2,8;9,"1956, 1960, 1964, 1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2016, 2020",Yes,4
VCF9030b,Contacted By Democratic Party,Did Democratic Party contact R about election campaign,1-2,8;9,"1956, 1960, 1964, 1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,4
VCF9030c,Contacted By Republican Party,Did Republican Party contact R about election campaign,1-2,8;9,"1956, 1960, 1964, 1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,4
VCF9031,Contacted By Anyone Other than Parties,"1980-2004: 
Other than someone from the two major parties, did anyone
else call you
up or come around and talk to you ab",1-5,8;9,"1980, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012, 2016, 2020",Yes,4
VCF9032,Hear Programs about Campaigns on the Radio 4-Category,"Did you listen to any speeches or discussions about the campaign [2012:

for President] on the radio?
(IF YES:) Would yo",0-5,8;9,"1960, 1964, 1968, 1972, 1976, 1978, 1980, 1984, 1986, 1988, 1992, 1996, 2000, 2004, 2012, 2016",Yes,6
VCF9033,Number of Days Read Newspaper in Last Week,"How many days in the past week did you read a daily newspaper?
[2012:
During a typical week, how many days do you read n",0-7,8;9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004",Yes,5
VCF9034,Read Daily Newspaper,"1974,1978,1980: 
Now let’s switch to newspapers.
1976:
How
about newspapers.
ALL YEARS:
Do you read a daily newspaper?",1-5,8;9,"1974, 1976, 1978, 1980",Yes,4
VCF9035,Number of Days Watched National TV News in Past Week,"How many days in the past week did you watch national news (1986:
a
national news program) (1984,1988-1994: the news; 19",0-7,8;9,"1984, 1986, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004",Yes,5
VCF9036,Party with Senate Majority Before the Election,"Do you happen to know which party had the most members in the
U.S.
Senate before the election this/last month? (IF NECES",1-8,9,"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004",No,7
VCF9037,Government Should Ensure Fair Jobs for Blacks,"Some people feel that if black people (1964,1968: negroes) are
not
getting fair treatment in jobs, the government in Was",1-9,0,"1964, 1968, 1972, 1986, 1988, 1992, 1996, 2000, 2004, 2012",Yes,4
VCF9038,Guaranteed Equal Opportunity Is Not Government Job,"1986: 
Please tell me how much you agree or disagree with the
following
statement. (RESPONDENT BOOKLET SHOWN TO R) Do yo",1-8,9,"1986, 1988",Yes,7
VCF9039,Conditions Make it Difficult for Blacks to Succeed,"1986,1990,1994: 
In past studies we have asked people why they think
white people seem to
get more of the good things in",1-8,9,"1986, 1988, 1990, 1992, 1994, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9040,Blacks Should Not Have Special Favors to Succeed,"2004: Now I’m going to read several more statements. After each
one,
I would like you to tell me how strongly you agree ",1-8,9,"1986, 1988, 1990, 1992, 1994, 1998, 2000, 2004, 2016, 2020, 2024",Yes,7
VCF9041,Blacks Must Try Harder to Succeed,"‘It’s really a matter of some people not trying hard enough; if
blacks
would only try harder they could be just as well ",1-8,9,"1986, 1988, 1990, 1992, 1994, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9042,Blacks Gotten Less than They Deserve Over the Past Few Years,‘Over the past few years blacks have gotten less than they deserve.’,1-8,9,"1986, 1988, 1990, 1992, 1994, 1998, 2000, 2004, 2012, 2016, 2020, 2024",Yes,7
VCF9043,School Prayer Allowed 4-Category,"Which of the following views comes closest to your opinion on
the
issue of school prayer? [1996-LATER: Just give me the ",1-9,0,"1986, 1988, 1990, 1992, 1994, 1996, 1998",No,6
VCF9043a,Strength of Opinion When School Prayer Allowed 4-Category,"Which of the following views comes closest to your opinion on
the
issue of school prayer? [1996-LATER: Just give me the ",1-5,8;9,"1986, 1988, 1990, 1992, 1994, 1996, 1998",Yes,4
VCF9044,Effect of Federal Economic Policies 7-Category,"(1988 AND LATER: Over the past year) Would you say that the
economic
policies of the federal government have made the na",1-7,8;9,"1984, 1986, 1988, 1992, 1994, 1996",No,9
VCF9044a,Effect of Federal Economic Policies 3-Category,"(1988,1992-LATER: Over the past year) Would you say that the
economic
policies of the federal government have made the n",1-8,9,"1984, 1986, 1988, 1992, 1994, 1996",Yes,5
VCF9045,Position of the U.S. Weaker/Stronger in the Past Year,"1958,1960,1964,1968: 
Would you say that in the past year or so our
position in the world has
become stronger, less stro",1-8,9,"1958, 1960, 1964, 1968, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020, 2024",No,5
VCF9046,Federal Spending- Food Stamps,Food stamps,1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000",Yes,6
VCF9047,Federal Spending- Improve and Protect the Environment,"Should federal spending on improving and protecting the environment
(2000,2002: environmental 
protection; 2008,2012,201",1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2016, 2020, 2024",Yes,6
VCF9048,Federal Spending- Space/Science/Technology,"1984,1992 and later: Science and technology
1986,1988: Space and
scientific research
1990: the space program",1-8,9,"1984, 1986, 1988, 1990, 1992, 2004, 2008, 2012, 2016",Yes,6
VCF9049,Federal Spending- Social Security,Social Security,1-8,9,"1984, 1986, 1988, 1990, 1992, 1994, 1996, 2000, 2002, 2004, 2012, 2016, 2020, 2024",Yes,6
VCF9050,Federal Spending- Assistance to Blacks,"Programs that assist blacks
1984: assistance to blacks
2002: aid
to blacks",1-8,9,"1984, 1986, 1988, 1990, 1992, 2000, 2002",Yes,6
VCF9051,School Prayer Allowed 2-Category,"Some people think it is all right for the public schools to start
each
day with a prayer. Others feel that religion does",1-8,9,"1964, 1966, 1968, 1980, 1984",No,4
VCF9052,Are Things in U.S. Going Well or Not,"Let’s talk about the country as a whole.
Would you say that things in
the country are generally going very
well, fairly ",1-5,8;9,"1984, 1986, 1988",No,6
VCF9053,Income Kept Up with Costs in Last Year,"Do you think that over the last year your/your family’s income
has
gone up more than the cost of living, has it fallen b",1-7,8;9,"1984, 1986, 1988, 1992",Yes,9
VCF9054,Senate Race in State,Checkpoint: Senate race in state of IW?,1-2,9,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,3
VCF9055,Type of U.S. Senate Race,Type of Senate race,12-95,0,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2012, 2016, 2020",Yes,25
VCF9056,Thermometer - Senate Democratic Candidate,Senate Democratic candidate - feeling thermometer,0-100,990;996;997;998;999,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 1998, 2000, 2002, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9057,Thermometer - Senate Republican Candidate,Senate Republican candidate - feeling thermometer,0-100,990;996;997;998;999,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 1998, 2000, 2002, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9058,Thermometer - Senate Incumbent Candidate,Senate incumbent candidate - feeling thermometer,0-100,990;996;997;998;999,,Yes,5
VCF9059,Thermometer - Senate Challenger,Senate challenger to incumbent candidate - feeling thermometer,0-100,990;996;997;998;999,,Yes,5
VCF9060,Thermometer - Senator in State with Senate Race,"Senator not up for re-election in state with Senate race -
feeling
thermometer",0-100,996;997;998;999,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 2004, 2016, 2020",Yes,4
VCF9061,Thermometer - Senator 1 in State with No Senate Race),First Senator in state without Senate race - feeling thermometer,0-100,996;997;998;999,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 2004",Yes,4
VCF9062,Thermometer - Senator 2 in State with No Senate Race),Second Senator in state without Senate race - feeling thermometer,0-100,996;997;998;999,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 2004",Yes,4
VCF9063,Recall Names of U.S. Senate Candidates,"ALL YEARS EXCEPT 1992 CALIFORNIA ONLY: 
How about the candidates who
ran in this state for the United States
Senate in W",1-5,0;9,"1974, 1978, 1980, 1982, 1986, 1988, 1990, 1992",No,4
VCF9064,Recall Correct Name of U.S. Senate Candidate,"How about the candidates who ran in this state for the United
States
Senate in Washington? Do you happen to remember wha",1-7,0;9,"1978, 1980, 1982, 1986, 1988, 1990, 1992",Yes,9
VCF9065,Recall Correct Name of U.S. Senate Candidate,"How about the candidates who ran in this state for the United
States
Senate in Washington? Do you happen to remember wha",1-7,0;9,"1978, 1980, 1982, 1986, 1988, 1990, 1992",Yes,9
VCF9066,Recall Correct Name of U.S. Senate Candidate,"How about the candidates who ran in this state for the United
States
Senate in Washington? Do you happen to remember wha",1-7,0;9,"1978, 1980, 1982, 1986, 1988, 1990, 1992",Yes,9
VCF9067,Number of Recalled Names of U.S. Senate Candidates,Summary: number of corrent recalls– U.S. Senate candidates,0-33,97;99,,Yes,12
VCF9069,Strength Approve/Disapprove Running U.S. House Incumbent,"In general, do you approve or disapprove of the way [running U.S.
House
incumbent Representative] has been handling his/",1-8,0;9,"1980, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012, 2016, 2020",Yes,7
VCF9070,Agreement w/ Running House Incumbent's Legislative Votes,"Now we would like your opinion about the way [running U.S.
House
incumbent representative] has voted on bills that have ",1-5,0;8;9,"1982, 1986, 1988",Yes,6
VCF9071,Remember Running U.S. House Incumbent Vote on Any Bill,"Was there any bill in particular that you remember how [House
running
incumbent] voted on in the last couple of years?",1-5,0;8;9,"1986, 1988, 1990",Yes,5
VCF9072,Agree With Running U.S. House Incumbent Vote on Bill,"Was there any bill in particular that you remember how s/he
[House
running incumbent] voted on in the last couple of
yea",1-5,0;8;9,"1986, 1988, 1990",Yes,5
VCF9073,President on Defense Spending Scale,"Some people believe that we should spend much less money for
defense.
2004: 
Please look at page [page] of the booklet.
",1-7,0;8;9,"1980, 1982, 1984, 1986, 1988, 1990, 1992, 1996, 2004",Yes,5
VCF9074,President on Cooperation with USSR Scale,"1980: 
Some people feel it is important for us to try very hard to
get along
with Russia. Others feel it is a big mistak",1-7,0;8;9,"1980, 1984, 1988",Yes,5
VCF9075,President on Women's Equal Role Scale,"2004: 
Please look at page [page] of the booklet.
Recently there
has been a lot of talk about women’s
rights. Some peopl",1-7,0;8;9,"1972, 1976, 1978, 1980, 1982, 1988, 1996, 1998, 2004",Yes,5
VCF9076,President on Aid to Blacks Scale,"1970-1984,1988 FORM B: 
Some people feel that the government in
Washington should make every
possible effort to improve ",1-7,0;8;9,"1970, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1988, 1990, 1994, 1996, 2000, 2004, 2012",Yes,5
VCF9077,President on Government Health Insurance Scale,"There is much concern about the rapid rise in medical and
hospital
costs.
Some people feel there should be a government
",1-7,0;8;9,"1970, 1972, 1976, 1978, 1994, 1996, 2012",Yes,5
VCF9078,President on Government Spending/Services Scale,"2004: 
Please look at page [page] of the booklet.
Some people
think the government should provide fewer
services even in",1-7,0;8;9,"1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012",Yes,5
VCF9079,President on Guaranteed Jobs and Living Scale,"Please look at page 9 of the booklet.
Some people feel the government
in Washington should see
to it that every person h",1-7,0;8;9,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1988, 1992, 1994, 1996, 1998, 2004, 2012",Yes,5
VCF9080,President on Liberal-Conservative Scale,"We hear a lot of talk these days about liberals and
conservatives.
I’m going to [1996-LATER: Here is a] show you a
7-poi",1-7,0;8;9,"1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2004, 2012",Yes,10
VCF9081,Democratic Presidential Cand- Defense Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
believe that we should spend much less money
for defense. ",1-7,0;8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2016",Yes,5
VCF9082,Democratic Presidential Cand- Cooperation with U.S.S.R. Scale,"1980: 
Some people feel it is important for us to try very hard
to
get along with Russia. Others feel it is a big mistak",1-7,8;9,"1980, 1984, 1988",Yes,4
VCF9083,Democratic Presidential Cand- Women Equal Role Scale,"2004: 
Please look at page [page] of the booklet.
Recently there
has been a lot of talk about women’s
rights. Some peopl",1-7,0;8;9,"1972, 1976, 1980, 1988, 1996, 2000, 2004",Yes,5
VCF9084,Democratic Presidential Cand- Aid to Blacks Scale,"1972,1976,1980,1984 and 1988 FORM B: 
Some people feel that the
government in Washington should make every
(1972, 1976: ",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9085,Democratic Presidential Cand- Government Health Insurance Scale,"There is much concern about the rapid rise in medical and
hospital
costs. Some feel there should be a government insuran",1-7,0;8;9,"1972, 1976, 1988, 1996, 2012, 2016, 2020, 2024",Yes,5
VCF9086,Democratic Presidential Cand- Government Services-Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
think the government should provide fewer
services even in",1-7,0;8;9,"1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9087,Democratic Presidential Cand- Guaranteed Jobs and Living Scale,"2004: 
Please look at page [page] of the booklet.
Some people feel
the government in Washington should see
to it that ev",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2024",Yes,5
VCF9088,Democratic Presidential Cand- Liberal-Conservative Scale,"We hear a lot of talk these days about liberals and
conservatives.
Here is a 7-point scale on which the political views
",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2016, 2020, 2024",Yes,10
VCF9089,Republican Presidential Cand- Defense Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
believe that we should spend much less money
for defense. ",1-7,0;8;9,"1980, 1984, 1988, 1992, 1996, 2000, 2004, 2016",Yes,5
VCF9090,Republican Presidential Cand- Cooperation with U.S.S.R. Scale,"1980: 
Some people feel it is important for us to try very hard to
get along
with Russia. Others feel it is a big mistak",1-7,0;8;9,"1980, 1984, 1988",Yes,5
VCF9091,Republican Presidential Cand- Women Equal Role Scale,"2004: 
Please look at page [page] of the booklet.
Recently there
has been a lot of talk about women’s
rights. Some peopl",1-7,0;8;9,"1972, 1976, 1980, 1988, 1996, 2000, 2004",Yes,5
VCF9092,Republican Presidential Cand- Aid to Blacks Scale,"1972,1976,1980,1984 and 1988 FORM B: 
Some people feel that the
government in Washington should make every
(1972, 1976: ",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9093,Republican Presidential Cand- Government Health Insurance Scale,"There is much concern about the rapid rise in medical and
hospital
costs. Some feel there should be a government insuran",1-7,0;8;9,"1972, 1976, 1988, 1996, 2012, 2016, 2020, 2024",Yes,5
VCF9094,Republican Presidential Cand- Government Services-Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
think the government should provide fewer
services even in",1-7,0;8;9,"1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,5
VCF9095,Republican Presidential Cand- Guaranteed Jobs and Living Scale,"2004: 
Please look at page [page] of the booklet.
Some people feel
the government in Washington should see
to it that ev",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2024",Yes,5
VCF9096,Republican Presidential Cand- Liberal-Conservative Scale,"We hear a lot of talk these days about liberals and
conservatives.
Here is a 7-point scale on which the political views
",1-7,0;8;9,"1972, 1976, 1980, 1984, 1988, 1992, 1996, 2000, 2004, 2012, 2016, 2020, 2024",Yes,10
VCF9097,Democratic U.S. House Cand- Women Equal Role Scale,"Recently there has been a lot of talk about women’s rights.
Some
people feel that women should have an equal role with m",1-7,0;8;9,"1978, 1980, 1982, 1998",Yes,5
VCF9098,Democratic U.S. House Cand- Aid to Blacks Scale,"Some people feel that the government in Washington should make
every
possible effort to improve the social and economic ",1-7,0;8;9,"1978, 1980, 1982",Yes,5
VCF9099,Democratic U.S. House Cand- Government Services-Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
think the government should provide fewer
services even in",1-7,0;8;9,"1982, 1984, 1986, 1990, 1994, 1996, 1998, 2000, 2004",Yes,5
VCF9100,Democratic U.S. House Cand- Guaranteed Jobs and Living Scale,"Some people feel the government in Washington should see to it
that
every person has a job and a good standard of living",1-7,0;8;9,"1978, 1980, 1982, 1984, 1994, 1998",Yes,5
VCF9101,Democratic U.S. House Cand- Liberal-Conservative Scale,"We hear a lot of talk these days about liberals and
conservatives.
Here is a 7-point scale on which the political views
",1-7,0;8;9,"1978, 1980, 1982, 1986, 1990, 1994, 1996, 1998, 2000, 2004",Yes,10
VCF9102,Republican U.S. House Cand- Women Equal Role Scale,"Recently there has been a lot of talk about women’s rights.
Some
people feel that women should have an equal role with m",1-7,0;8;9,"1978, 1980, 1982, 1998",Yes,5
VCF9103,Republican U.S. House Cand- Aid to Blacks Scale,"Some people feel that the government in Washington should make
every
(1978: possible) effort to improve the social and e",1-7,0;8;9,"1978, 1980, 1982",Yes,5
VCF9104,Republican U.S. House Cand- Government Services-Spending Scale,"2004: 
Please look at page [page] of the booklet.
Some people
think the government should provide fewer
services even in",1-7,0;8;9,"1982, 1984, 1986, 1990, 1994, 1996, 1998, 2000, 2004",Yes,5
VCF9105,Republican U.S. House Cand- Guaranteed Jobs and Living Scale,"Some people feel the government in Washington should see to it
that
every person has a job and a good standard of living",1-7,0;8;9,"1978, 1980, 1982, 1984, 1994, 1998",Yes,5
VCF9106,Republican U.S. House Cand- Liberal-Conservative Scale,"We hear a lot of talk these days about liberals and
conservatives.
Here is a 7-point scale on which the political views
",1-7,0;8;9,"1978, 1980, 1982, 1986, 1990, 1994, 1996, 1998, 2000, 2004",Yes,10
VCF9107,Incumbent U.S. House Cand- Women Equal Role Scale,Women’s equal role – incumbent House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9108,Incumbent U.S. House Cand- Aid to Blacks Scale,Aid to blacks – incumbent House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9109,Incumbent U.S. House Cand- Government Services-Spending Scale,Govt services/spending – incumbent House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9110,Incumbent U.S. House Cand- Guaranteed Jobs and Living Scale,Guaranteed jobs/living – incumbent House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9111,Incumbent U.S. House Cand- Liberal-Conservative Scale,Liberal/conservative – incumbent House cand placement on 7-point scale,1-7,0;8;9,,Yes,10
VCF9112,Challenger to Incumbent U.S. House Cand- Women Equal Role Scale,Women’s equal role – challenger House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9113,Challenger to Incumbent U.S. House Cand- Aid to Blacks Scale,Aid to blacks – challenger House cand placement on 7-point scale,1-7,0;8;9,,Yes,5
VCF9114,Challenger to Incumbent U.S. House Cand- Government Services-Spending Scale,"Govt services/spending – challenger House cand placement on
7-point
scale",1-7,0;8;9,,Yes,5
VCF9115,Challenger to Incumbent U.S. House Cand- Guaranteed Jobs and Living Scale,"Guaranteed jobs/living – challenger House cand placement on
7-point
scale",1-7,0;8;9,,Yes,5
VCF9116,Challenger to Incumbent U.S. House Cand- Liberal-Conservative Scale,Liberal/conservative – challenger House cand placement on 7-point scale,1-7,0;8;9,,Yes,10
VCF9117,Federal Government on Cooperation with USSR Scale,"1980: 
Some people feel it is important for us to try very hard to
get along
with Russia. Others feel it is a big mistak",1-7,0;8;9,"1980, 1984, 1988",Yes,5
VCF9118,Federal Government on Defense Spending Scale,"Some people believe that we should spend much less money for
defense.
Others feel that defense spending should be greatl",1-7,0;8;9,"1980, 1982, 1984, 1986, 1988, 1990, 1992",Yes,5
VCF9119,Federal Government on Aid to Blacks Scale,"1980,1982,1984 and 1988 FORM B: Some people feel that the
government
in Washington should make every effort to improve t",1-7,0;8;9,"1980, 1982, 1984, 1988, 1990",Yes,5
VCF9120,Federal Government on Government Services/Spending Scale,"Some people think the government should provide fewer services,
even
in areas such as health and education in order to r",1-7,0;8;9,"1982, 1984, 1986, 1988, 1990, 1992",Yes,5
VCF9121,Federal Government on Guaranteed Jobs and Living Scale,"Some people feel the government in Washington should see to it
that
every person has a job and a good standard of living",1-7,0;8;9,"1980, 1982, 1984, 1988, 1992",Yes,5
VCF9122,Number of Politically Eligible Adults in HH,"Household composition, number of politically eligible adults",1-7,9,"1966, 1968, 1972, 1974, 1976, 1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008, 2012",Yes,3
VCF9123,Number of Pre-Election Interviewer Calls,"Call number of last interviewer call to housing unit, pre-election.",,99,"1980, 1984, 1988, 1992, 1996, 2000, 2002, 2004, 2008",Yes,1
VCF9124,Number of Post-Election Interviewer Calls,"Call number of last interviewer call to housing unit, post-election.",,99,"1978, 1980, 1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2008",Yes,1
VCF9125,Post-Election Persuasion Letter 1978-2012,Was a persuasion letter requested/sent to the respondent?,1-5,9,"1978, 1980, 1982, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2012",Yes,3
VCF9131,Less Government Better OR Government Do More,"Next, I am going to ask you to choose which of two statements
I read
comes closer to your own opinion. You might agree t",1-8,9,"1990, 1992, 2000, 2004, 2012, 2016, 2020, 2024",Yes,4
VCF9132,Govt Handle Economy OR Free Market Can Handle,"Next, I am going to ask you to choose which of two statements
I read
comes closer to your own opinion. You might agree t",1-8,9,"1990, 1992, 2000, 2004, 2012, 2016",Yes,4
VCF9133,Govt Too Involved in Things OR Problems Require,"Next, I am going to ask you to choose which of two statements
I read
comes closer to your own opinion. You might agree t",1-8,9,"1990, 1992, 2000, 2004, 2012, 2016",Yes,4
VCF9134,More Important to Be Cooperative OR Self-reliant,"Next, I am going to ask you to choose which of two statements
I read
comes closer to your own opinion. You might agree t",1-8,9,"1990, 2000",Yes,4
VCF9149,Election Office Number,VOTE VALIDATION STUDY: Election Office Number,,0;998,"1984, 1986, 1988, 1990",Yes,2
VCF9150,R Registration Status (Self-reported),VOTE VALIDATION STUDY: R Registration Status (Self-reported),1-3,0,"1978, 1980, 1984, 1986, 1988, 1990, 2012",Yes,4
VCF9151,R Turnout (Self-reported),VOTE VALIDATION STUDY: R Turnout (Self-reported),1-5,0;8;9,"1964, 1976, 1978, 1980, 1984, 1986, 1988, 1990",Yes,5
VCF9152,Attempted Validation of Registration,VOTE VALIDATION STUDY: Attempted Validation of Registration,1-7,0,"1964, 1976, 1978, 1980, 1984, 1986, 1988, 1990",Yes,7
